n,id,name,course,school,tutor,career,year,support,photo,username
1,10054116,Garth Abell,BA Hons Geography with Business,Law,Simon Chew,PGT,1,N,36,rmycd2
2,10504942,Zara Ahmed,BA Hons Geography with Business,Philosophy,Frances Coady,UG,1,N,21,meyur6
3,10952733,Iain Anderson,BA Hons Geography with Business,Law,Joshua Clarke,UG,1,N,12,otyyo0
4,10431079,June Armstrong,BSc Hons Agricultural Business Management,Philosophy,Frances Coady,UG,1,N,24,xdytn6
5,10424442,Colin Ashton,BSc Hons Accounting and Business,Biosciences,Kevin Berry,UG,1,N,9,trymm9
6,10488537,Elizabeth Ashton,BA Hons Geography with Business,Philosophy,Joshua Clarke,UG,2,N,24,xgyzh9
7,10614242,Stephen Ashurst,MSc Business and Management,Politics and International Relations,Patricia Collins,UG,1,N,6,usydq0
8,10371801,Robert Atkinson,MSc Business and Management,Law,Joshua Clarke,UG,3,N,16,dyyqg9
9,10398601,Thang Bak,MSc Business and Management,Philosophy,Joshua Clarke,PGT,3,N,33,geybc7
10,10695028,Daniel Barrett,BSc Hons Accounting and Business,Politics and International Relations,Andrew Allen,UG,1,N,16,bwywo4
11,10734283,Stephen Beard,MBA Business Administration,Politics and International Relations,Frances Coady,UG,2,N,34,flysl8
12,10948073,Paula Beaumont,BSc Hons Accounting and Business,Business School,Susan Burke,UG,4,N,17,cfyev3
13,10325008,Keith Blair,MSc International Business,Business School,Simon Chew,UG,1,N,9,wdyuu3
14,10329508,George Boyle,MSc Business and Management,Politics and International Relations,Kevin Berry,UG,4,N,33,gjyjw8
15,10073396,Cathy Boylen,MBA Business Administration,Law,Allison Chan,UG,1,N,24,puykn9
16,10328052,Sian Brown,MSc International Business,Biosciences,Joshua Clarke,UG,1,N,24,fmysl6
17,10011347,Hein Bui,BSc Hons Accounting and Business,Law,Simon Chew,PGT,3,N,25,ojydv9
18,10550966,Denise Bull,MSc Business and Management,Law,Allison Chan,UG,3,N,28,msysa7
19,10933309,Derren Burn,BSc Hons Agricultural Business Management,Politics and International Relations,Simon Chew,UG,1,N,22,eoyyu6
20,10610673,Chris Bush,MSc Business and Management,Philosophy,Joshua Clarke,PGT,1,N,5,osydm1
21,10503680,Paul Carter,MSc Business and Management,Biosciences,Simon Chew,UG,1,N,46,iwyeb8
22,10144989,Ashfaq Chaudhry,MSc International Business,Law,Allison Chan,UG,1,N,30,layhx2
23,10278733,Eddie Chung,MSc Business and Management,Business School,Simon Chew,UG,1,N,44,avyui8
24,10656533,Lesley Clifford,BA Hons Geography with Business,Biosciences,Patricia Collins,PGT,1,N,11,kdyxd8
25,10804247,Neville Coley,MSc International Business,Law,Andrew Allen,UG,3,N,19,qmyyh0
26,10892290,Edwin Cook,BA Hons Geography with Business,Biosciences,Andrew Allen,UG,2,N,9,bmywm3
27,10600843,Linda Crellin,BA Hons Geography with Business,Biosciences,Allison Chan,UG,3,N,11,byypq2
28,10375206,Alicia Curry,MSc Business and Management,Biosciences,Kate Beard,UG,3,Y,42,uzyjd7
29,10942827,Ian Dalton,BA Hons Geography with Business,Law,Allison Chan,PGT,1,N,8,nayqa7
30,10829749,Lalit Das,BA Hons Geography with Business,Business School,Susan Burke,PGT,2,N,10,lnysj1
31,10855590,Michael Deady,MSc Business and Management,Politics and International Relations,Simon Chew,UG,2,N,17,dcyvb5
32,10761135,Rebecca Dewey,BA Hons Geography with Business,Law,Patricia Collins,UG,2,N,5,xbywc4
33,10550836,Martin Dower,BSc Hons Agricultural Business Management,Politics and International Relations,Susan Burke,UG,4,N,3,sqyca9
34,10356162,Jo Duffy,MSc International Business,Biosciences,Kate Beard,PGT,4,N,34,joyfq8
35,10273708,Jim Dunstan,MSc Business and Management,Business School,Joshua Clarke,UG,3,N,2,evyfq3
36,10258830,Mary Duthie,BSc Hons Agricultural Business Management,Business School,Simon Chew,UG,1,N,10,vsyxi6
37,10712630,James Edmiston,BA Hons Geography with Business,Politics and International Relations,Kate Beard,UG,1,Y,40,gxynk4
38,10644238,Alice Edwards,BSc Hons Agricultural Business Management,Politics and International Relations,Patricia Collins,UG,1,Y,39,wiycm1
39,10061351,Geoffrey Evans,MBA Business Administration,Biosciences,Joshua Clarke,UG,1,Y,20,pkyik8
40,10602561,Helen Franklin,BSc Hons Agricultural Business Management,Politics and International Relations,Joshua Clarke,UG,2,N,28,nzyba3
