n,id,name,forename,surname,course,school,tutor,career,year,support,photo,username
1,10054116,Garth Abell,Garth,Abell,BA Hons Geography with Business,Law,Simon Chew,PGT,1,N,36,vvyxg6
2,10504942,Zara Ahmed,Zara,Ahmed,BA Hons Geography with Business,Philosophy,Frances Coady,PGR,1,N,21,brysq7
3,10952733,Iain Anderson,Iain,Anderson,BA Hons Geography with Business,Law,Joshua Clarke,PGT,1,N,12,xxygb4
4,10431079,June Armstrong,June,Armstrong,BSc Hons Agricultural Business Management,Philosophy,Frances Coady,UG,1,N,24,shyhk1
5,10424442,Colin Ashton,Colin,Ashton,BSc Hons Accounting and Business,Biosciences,Kevin Berry,PGT,1,N,9,fjync8
6,10488537,Elizabeth Ashton,Elizabeth,Ashton,BA Hons Geography with Business,Philosophy,Joshua Clarke,PGR,2,N,24,pqycv1
7,10614242,Stephen Ashurst,Stephen,Ashurst,MSc Business and Management,Politics and International Relations,Patricia Collins,PGR,1,N,6,lryqx1
8,10371801,Robert Atkinson,Robert,Atkinson,MSc Business and Management,Law,Joshua Clarke,PGT,3,N,16,rwyzb1
9,10398601,Thang Bak,Thang,Bak,MSc Business and Management,Philosophy,Joshua Clarke,PGR,3,N,33,vtyeq3
10,10695028,Daniel Barrett,Daniel,Barrett,BSc Hons Accounting and Business,Politics and International Relations,Andrew Allen,PGR,1,N,16,hjyzy4
11,10734283,Stephen Beard,Stephen,Beard,MBA Business Administration,Politics and International Relations,Frances Coady,PGR,2,N,34,kpyls1
12,10948073,Paula Beaumont,Paula,Beaumont,BSc Hons Accounting and Business,Business School,Susan Burke,PGT,4,N,17,dvysv4
13,10325008,Keith Blair,Keith,Blair,MSc International Business,Business School,Simon Chew,UG,1,N,9,yoyli3
14,10329508,George Boyle,George,Boyle,MSc Business and Management,Politics and International Relations,Kevin Berry,PGR,4,N,33,aqytp6
15,10073396,Cathy Boylen,Cathy,Boylen,MBA Business Administration,Law,Allison Chan,PGT,1,N,24,vgynj9
16,10328052,Sian Brown,Sian,Brown,MSc International Business,Biosciences,Joshua Clarke,UG,1,N,24,uuylh7
17,10011347,Hein Bui,Hein,Bui,BSc Hons Accounting and Business,Law,Simon Chew,PGT,3,N,25,zsyuw7
18,10550966,Denise Bull,Denise,Bull,MSc Business and Management,Law,Allison Chan,PGR,3,N,28,ahymr4
19,10933309,Derren Burn,Derren,Burn,BSc Hons Agricultural Business Management,Politics and International Relations,Simon Chew,PGT,1,N,22,bhyxt8
20,10610673,Chris Bush,Chris,Bush,MSc Business and Management,Philosophy,Joshua Clarke,PGR,1,N,5,joyld8
21,10503680,Paul Carter,Paul,Carter,MSc Business and Management,Biosciences,Simon Chew,PGT,1,N,46,ovyhr0
22,10144989,Ashfaq Chaudhry,Ashfaq,Chaudhry,MSc International Business,Law,Allison Chan,UG,1,N,30,xfysu2
23,10278733,Eddie Chung,Eddie,Chung,MSc Business and Management,Business School,Simon Chew,UG,1,N,44,nkygl8
24,10656533,Lesley Clifford,Lesley,Clifford,BA Hons Geography with Business,Biosciences,Patricia Collins,PGR,1,N,11,hoydb6
25,10804247,Neville Coley,Neville,Coley,MSc International Business,Law,Andrew Allen,UG,3,N,19,tkyms8
26,10892290,Edwin Cook,Edwin,Cook,BA Hons Geography with Business,Biosciences,Andrew Allen,PGT,2,N,9,ecycl4
27,10600843,Linda Crellin,Linda,Crellin,BA Hons Geography with Business,Biosciences,Allison Chan,PGR,3,N,11,bsymh7
28,10375206,Alicia Curry,Alicia,Curry,MSc Business and Management,Biosciences,Kate Beard,PGT,3,Y,42,eqywi6
29,10942827,Ian Dalton,Ian,Dalton,BA Hons Geography with Business,Law,Allison Chan,UG,1,N,8,thygl6
30,10829749,Lalit Das,Lalit,Das,BA Hons Geography with Business,Business School,Susan Burke,PGT,2,N,10,mwytr1
31,10855590,Michael Deady,Michael,Deady,MSc Business and Management,Politics and International Relations,Simon Chew,PGT,2,N,17,alyta9
32,10761135,Rebecca Dewey,Rebecca,Dewey,BA Hons Geography with Business,Law,Patricia Collins,PGR,2,N,5,fayut0
33,10550836,Martin Dower,Martin,Dower,BSc Hons Agricultural Business Management,Politics and International Relations,Susan Burke,PGR,4,N,3,orynx0
34,10356162,Jo Duffy,Jo,Duffy,MSc International Business,Biosciences,Kate Beard,PGR,4,N,34,boykt9
35,10273708,Jim Dunstan,Jim,Dunstan,MSc Business and Management,Business School,Joshua Clarke,PGR,3,N,2,rmycd2
36,10258830,Mary Duthie,Mary,Duthie,BSc Hons Agricultural Business Management,Business School,Simon Chew,PGR,1,N,10,meyur6
37,10712630,James Edmiston,James,Edmiston,BA Hons Geography with Business,Politics and International Relations,Kate Beard,PGT,1,Y,40,otyyo0
38,10644238,Alice Edwards,Alice,Edwards,BSc Hons Agricultural Business Management,Politics and International Relations,Patricia Collins,PGR,1,Y,39,xdytn6
39,10061351,Geoffrey Evans,Geoffrey,Evans,MBA Business Administration,Biosciences,Joshua Clarke,PGT,1,Y,20,trymm9
40,10602561,Helen Franklin,Helen,Franklin,BSc Hons Agricultural Business Management,Politics and International Relations,Joshua Clarke,PGR,2,N,28,xgyzh9
41,10510994,Mark Fuller,Mark,Fuller,MSc Business and Management,Business School,Kate Beard,UG,3,Y,6,usydq0
42,10797994,Fiona Garrett,Fiona,Garrett,MSc Business and Management,Biosciences,Simon Chew,PGT,4,Y,2,dyyqg9
43,10977634,Michael Gatenby,Michael,Gatenby,MSc Business and Management,Philosophy,Allison Chan,UG,3,N,29,geybc7
44,10735483,David Geddes,David,Geddes,MSc International Business,Business School,Andrew Allen,UG,1,N,3,bwywo4
45,10594295,Elias Getachew,Elias,Getachew,MSc Business and Management,Philosophy,Kevin Berry,UG,3,N,42,flysl8
46,10965217,Colin Gibbons,Colin,Gibbons,MSc International Business,Politics and International Relations,Frances Coady,PGR,1,N,50,cfyev3
47,10377020,Stephen Goodall,Stephen,Goodall,MSc Business and Management,Law,Allison Chan,UG,2,N,21,wdyuu3
48,10447801,Catherine Hagan,Catherine,Hagan,BSc Hons Agricultural Business Management,Business School,Susan Burke,UG,2,N,1,gjyjw8
49,10118037,Warren Hamlin,Warren,Hamlin,MBA Business Administration,Politics and International Relations,Frances Coady,UG,2,N,11,puykn9
50,10743919,Simon Handley,Simon,Handley,MSc International Business,Politics and International Relations,Simon Chew,PGT,3,N,2,fmysl6
51,10868847,Joyce Harding,Joyce,Harding,BSc Hons Accounting and Business,Philosophy,Kevin Berry,PGR,1,N,11,ojydv9
52,10789062,Daniel Hayes,Daniel,Hayes,MSc Business and Management,Biosciences,Frances Coady,PGR,1,N,50,msysa7
53,10255814,Robert Haywood,Robert,Haywood,BSc Hons Agricultural Business Management,Law,Kate Beard,PGR,1,N,25,eoyyu6
54,10811170,Lindsey Henderson,Lindsey,Henderson,MSc Business and Management,Politics and International Relations,Kate Beard,UG,1,N,16,osydm1
55,10125587,David Henry,David,Henry,MSc International Business,Philosophy,Kate Beard,UG,2,N,36,iwyeb8
56,10687856,Edwin Hicks,Edwin,Hicks,BSc Hons Agricultural Business Management,Law,Allison Chan,UG,2,N,6,layhx2
57,10793055,David Higham,David,Higham,MSc Business and Management,Politics and International Relations,Kevin Berry,PGT,1,N,43,avyui8
58,10290219,Adam Hoffman,Adam,Hoffman,BSc Hons Agricultural Business Management,Philosophy,Simon Chew,UG,1,N,40,kdyxd8
59,10457941,Maureen Holliday,Maureen,Holliday,MBA Business Administration,Business School,Kevin Berry,PGR,3,N,26,qmyyh0
60,10928784,Norman Holmes,Norman,Holmes,BSc Hons Agricultural Business Management,Law,Joshua Clarke,PGT,2,N,4,bmywm3
61,10160279,Richard Hubbard,Richard,Hubbard,BSc Hons Agricultural Business Management,Philosophy,Andrew Allen,PGT,3,Y,34,byypq2
62,10787926,Julie Hurley,Julie,Hurley,BA Hons Geography with Business,Business School,Patricia Collins,PGT,3,N,47,uzyjd7
63,10988523,Beryl Hurren,Beryl,Hurren,MSc Business and Management,Politics and International Relations,Simon Chew,PGT,3,N,33,nayqa7
64,10448797,Aaron Jackson,Aaron,Jackson,BSc Hons Accounting and Business,Politics and International Relations,Patricia Collins,UG,2,Y,19,lnysj1
65,10294031,Abigail Jacob,Abigail,Jacob,BSc Hons Accounting and Business,Philosophy,Simon Chew,PGT,1,Y,5,dcyvb5
66,10925677,William Jones,William,Jones,BSc Hons Agricultural Business Management,Philosophy,Frances Coady,UG,3,N,6,xbywc4
67,10593065,Lowri Jones,Lowri,Jones,MSc International Business,Biosciences,Andrew Allen,PGT,3,N,42,sqyca9
68,10838536,Warren Jordan,Warren,Jordan,BSc Hons Agricultural Business Management,Philosophy,Joshua Clarke,PGR,1,N,48,joyfq8
69,10462456,Nigel Kendall,Nigel,Kendall,BA Hons Geography with Business,Philosophy,Joshua Clarke,UG,1,N,2,evyfq3
70,10840396,William Kershaw,William,Kershaw,BSc Hons Accounting and Business,Politics and International Relations,Simon Chew,UG,3,N,39,vsyxi6
71,10868942,Nindy Kumar,Nindy,Kumar,BSc Hons Accounting and Business,Politics and International Relations,Allison Chan,PGR,2,N,6,gxynk4
72,10951678,Anthony Lane,Anthony,Lane,MSc International Business,Politics and International Relations,Andrew Allen,PGT,2,N,15,wiycm1
73,10465512,John Langham,John,Langham,MSc International Business,Philosophy,Kate Beard,PGR,1,N,33,pkyik8
74,10000897,Claire Lawlor,Claire,Lawlor,MSc Business and Management,Law,Joshua Clarke,UG,1,N,28,nzyba3
75,10036030,Stanley Lawrence,Stanley,Lawrence,MSc Business and Management,Philosophy,Patricia Collins,PGT,1,N,3,jtyfq8
76,10464689,John Leach,John,Leach,BA Hons Geography with Business,Law,Simon Chew,UG,2,N,17,ygyiq7
77,10007037,Susan Leigh,Susan,Leigh,MBA Business Administration,Biosciences,Kate Beard,PGR,1,N,23,nqywe4
78,10576577,Graham Lloyd,Graham,Lloyd,MBA Business Administration,Politics and International Relations,Kate Beard,UG,3,N,8,eiyht8
79,10057465,Rita Lockwood,Rita,Lockwood,BSc Hons Agricultural Business Management,Philosophy,Kate Beard,PGT,3,N,50,qryws3
80,10162513,Sandra Lowe,Sandra,Lowe,MSc International Business,Philosophy,Simon Chew,PGT,2,N,1,mfyep5
81,10926543,Gillian MacDonald,Gillian,MacDonald,BA Hons Geography with Business,Biosciences,Frances Coady,UG,2,Y,8,zzyec3
82,10364414,Noel Malik,Noel,Malik,BSc Hons Agricultural Business Management,Biosciences,Andrew Allen,PGR,1,N,33,osyvp1
83,10838212,Catherine May,Catherine,May,MSc Business and Management,Politics and International Relations,Kevin Berry,PGT,2,N,6,ntyby7
84,10678672,Nicola McDonald,Nicola,McDonald,BSc Hons Agricultural Business Management,Biosciences,Susan Burke,PGR,2,N,24,owyaw3
85,10489998,Garry McGowen,Garry,McGowen,BSc Hons Agricultural Business Management,Philosophy,Frances Coady,UG,3,N,23,dcypk4
86,10826802,Anne McLean,Anne,McLean,MSc International Business,Biosciences,Kate Beard,PGT,1,N,4,bkyqn8
87,10285260,Beryl Meredith,Beryl,Meredith,MBA Business Administration,Politics and International Relations,Kevin Berry,UG,2,N,49,gkyli8
88,10947700,Tony Millen,Tony,Millen,BSc Hons Agricultural Business Management,Law,Andrew Allen,PGR,1,N,8,vhynh7
89,10363306,Karen Milligan,Karen,Milligan,MBA Business Administration,Business School,Frances Coady,PGR,3,N,16,cjyzp2
90,10787018,James Milton,James,Milton,BA Hons Geography with Business,Law,Kate Beard,PGT,1,N,21,gmyik7
91,10347068,Barry Minty,Barry,Minty,BSc Hons Agricultural Business Management,Biosciences,Simon Chew,PGR,1,N,8,phyoy0
92,10283046,Michael Mogg,Michael,Mogg,BSc Hons Accounting and Business,Biosciences,Kevin Berry,PGR,2,N,33,clyyb1
93,10450835,Arthur Morrison,Arthur,Morrison,BA Hons Geography with Business,Biosciences,Patricia Collins,PGR,4,N,9,wryso5
94,10120283,Lynn Nevin,Lynn,Nevin,MSc International Business,Politics and International Relations,Joshua Clarke,UG,3,N,50,bkyjr6
95,10468794,Denise Ng,Denise,Ng,MBA Business Administration,Biosciences,Andrew Allen,UG,1,N,19,erymp5
96,10918128,Patrick Nuttall,Patrick,Nuttall,BA Hons Geography with Business,Business School,Patricia Collins,PGT,1,N,37,jnyif9
97,10290872,Michael Orris,Michael,Orris,BA Hons Geography with Business,Business School,Frances Coady,UG,4,N,11,mmyks5
98,10917444,Andrew Padgett,Andrew,Padgett,MSc International Business,Biosciences,Kevin Berry,PGT,1,N,10,zqynx6
99,10103527,Simon Payne,Simon,Payne,BA Hons Geography with Business,Law,Patricia Collins,UG,1,N,21,fmysa4
100,10686921,Robert Phillips,Robert,Phillips,BSc Hons Agricultural Business Management,Politics and International Relations,Susan Burke,PGT,1,N,31,osyil3
101,10514927,Nigel Poole,Nigel,Poole,MSc International Business,Business School,Joshua Clarke,PGR,2,N,12,wryvx1
102,10534730,Andrew Powell,Andrew,Powell,MBA Business Administration,Business School,Simon Chew,PGT,3,N,31,hjyle4
103,10510965,Steven Prosser,Steven,Prosser,BSc Hons Agricultural Business Management,Business School,Joshua Clarke,PGT,4,N,40,khyyg3
104,10747181,Alan Ransome,Alan,Ransome,MSc International Business,Politics and International Relations,Susan Burke,UG,3,N,36,tyyhd7
105,10622382,Belinda Read,Belinda,Read,MSc International Business,Biosciences,Simon Chew,PGR,2,N,38,jryyg0
106,10724727,Robert Reeder,Robert,Reeder,MBA Business Administration,Politics and International Relations,Joshua Clarke,PGT,3,N,27,pfyxz2
107,10223342,William Reeves,William,Reeves,MSc Business and Management,Philosophy,Frances Coady,PGR,1,N,36,tjycv3
108,10523886,Stanley Riley,Stanley,Riley,BSc Hons Agricultural Business Management,Law,Kate Beard,PGR,3,N,13,cvyxa2
109,10036542,David Robinson,David,Robinson,BA Hons Geography with Business,Politics and International Relations,Patricia Collins,PGT,3,N,18,xkyhc3
110,10517592,Darren Ronan,Darren,Ronan,MSc Business and Management,Biosciences,Kate Beard,UG,1,N,20,jbyed0
111,10068739,Helen Rosser,Helen,Rosser,MBA Business Administration,Philosophy,Kevin Berry,PGT,3,N,36,wkygc6
112,10418490,Robert Rowan,Robert,Rowan,BSc Hons Accounting and Business,Business School,Frances Coady,UG,3,N,4,cqyan1
113,10462254,Patricia Russell,Patricia,Russell,BA Hons Geography with Business,Business School,Andrew Allen,PGR,3,N,15,yfynh5
114,10854004,Diane Sampson,Diane,Sampson,BA Hons Geography with Business,Biosciences,Andrew Allen,PGR,1,N,46,qxysz4
115,10205900,Andrew Savage,Andrew,Savage,MSc International Business,Business School,Allison Chan,PGR,3,N,8,sdycd1
116,10414496,Ian Selby,Ian,Selby,MSc International Business,Biosciences,Allison Chan,PGT,2,N,27,woycw4
117,10963883,Robert Setchell,Robert,Setchell,MSc Business and Management,Philosophy,Simon Chew,PGR,1,N,34,nmyiq2
118,10531839,John Shand,John,Shand,MBA Business Administration,Business School,Allison Chan,PGT,3,N,14,caywa7
119,10708066,Wendy Sharrock,Wendy,Sharrock,BA Hons Geography with Business,Biosciences,Simon Chew,PGR,2,N,31,ybytm8
120,10949018,Kyra Sheehan,Kyra,Sheehan,MSc International Business,Biosciences,Kate Beard,UG,1,N,48,jnyqq1
